state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,CATEGORY
Goa,684.94,678.14,765.8,2396.68,2515.18,2705.55,3118.83,3207.32,3931.88,4014.75,6329.75,6093.05,6366.99,6818.49,7329.38,12713.31,13671.62,15041.72,15875.38,17466.18,19248.28,22499.08,42366.66,35850.22,31568.46,40116.49,46090.86,51249.24,52652.69,53063.01,54811.54,53360.06,NA,Gross State Domestic Product
Gujarat,12471.57,11663.15,14973.86,49194.29,58058.14,61245.66,69965.68,71442.14,76571.06,77354,109861,104494,113277,122500,140598,203373,233776,253393,281273,300341,334127,367581.28,615606.07,682650.21,734283.87,811427.64,894465.34,981341.96,1086569.73,1183019.75,1265277.33,1248189.12,NA,Gross State Domestic Product
Haryana,6298.77,6458.67,6469.49,22131.3,23692.13,24276.3,27094.82,27482.65,29010.69,31230.33,51374.9,55565.25,59906.65,63815.41,70107.16,95795.12,104607.79,116344.34,126170.76,136477.94,152474.47,163770.2,297538.52,320911.91,347506.61,370534.51,413404.79,456709.11,482036.15,524170.88,566033.74,536225.6,588771.21,Gross State Domestic Product
Himachal Pradesh,1285.37,1289.91,1362.37,4782.68,5243.93,5568.46,5955.28,6335.14,6791.97,7241.43,14112.47,15004.21,15786.09,16584.69,17925,24076.58,26107.33,28480.59,30916.73,33210.11,35897.22,39054.41,72719.83,77384.28,82846.69,89060.19,96274.06,103054.99,109406.27,116410.88,121167.71,114813.75,124399.62,Gross State Domestic Product
Jammu & Kashmir,NA,NA,NA,6342.68,6642.24,6981.6,7327.4,7741.66,8143.74,8509.13,15659.81,16213.01,16530.81,17379.31,18277.57,27304.62,28882.83,30601.58,32560.98,34664.22,36224.89,38269.96,78255.55,80766.57,85115.5,82372.11,97001.34,100198.68,106624.14,115061.96,113943.11,112628.03,121524.06,Gross State Domestic Product
Jharkhand,NA,NA,NA,16194.42,16878.55,17328.62,16615.47,20984.34,22182.39,21572.82,34323.08,30941.14,33042.92,33882.36,36604.04,59757.72,57848.41,59225.72,71377.11,70129.46,77240.04,89491.14,150917.59,163250.27,165816.26,186534.39,174881.15,193173.92,210587.3,229274.47,231755.39,218962.11,236816.37,Gross State Domestic Product
Karnataka,10259.82,11494.44,11810.49,41079.05,43386.93,46166.81,50302.2,53777.82,60619.64,63851.1,101247.45,102686.51,105559.66,110359.77,114173.52,166747.13,184277.03,202660.1,228202.15,244421.38,247590.29,272721.31,606009.81,649673.44,711312.82,748429.11,831329.91,941774.05,1019708.17,1082614.44,1149829.04,1143873.39,1252232.59,Gross State Domestic Product
Kerala,6105.43,6250.92,6674.07,26326.02,28501.09,29788.01,30890.03,31782.52,34026.93,36593.71,69168.47,71608.85,75308.99,80809.08,85858.33,119264,131293.93,141666.69,154092.68,162659.2,177571.35,189850.71,364047.89,387693.46,402781.33,419955.55,451210.02,485301.54,516189.76,554228.31,566522.7,514399.99,550920.06,Gross State Domestic Product
Madhya Pradesh,12777.07,12072.23,12940.69,37970.98,39069.77,41463.54,44169.99,46380.33,49424.12,54614.25,80132.1,74581.57,79891.1,76765.49,85530.48,112926.89,118919.46,129896.12,135985.71,152946.16,167564.06,178143.54,315561.59,351682.62,365133.94,383944.48,418735.74,470669.16,497101.65,543234.89,575553.84,564514.37,621653.24,Gross State Domestic Product
Maharashtra,29899.27,29986.09,34281.56,113319.64,116213.27,129566.83,136148.96,143723.22,148548.33,163022.87,247830.22,242614.62,252437.58,269620.96,291196.71,415479.68,470929.33,534653.95,594831.58,610191.35,666944.46,742041.8,1280369.44,1357941.85,1451614.64,1543164.87,1654283.61,1807045.75,1888706.19,1972959.7,2043982.5,1889306.66,NA,Gross State Domestic Product
Manipur,356.03,385.24,404.01,1308.09,1277.15,1328.5,1447.59,1575.37,1608.67,1801.76,3260.16,3053.23,3260.87,3245.59,3598.22,5133.36,5459.06,5567.75,5899.52,6286.59,6719.86,6680.61,12914.6,12992.81,14115.09,15244.9,16423.68,17081.92,18750.74,18262.22,20125.56,20767.48,NA,Gross State Domestic Product
Meghalaya,355.75,375.36,357.94,1510.87,1566.32,1730.61,1794.5,1905.42,2092.51,2256.18,3578.14,3773.37,4033.15,4185.52,4469.66,6559.33,7077.85,7625.64,7969.99,9001.04,9591.22,10413.08,19917.74,20353.57,20725.71,20140.33,20638.42,21730.23,22564.33,23718.85,24923.39,23750.66,25696.82,Gross State Domestic Product
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550.06,1627.18,1733.28,1912.63,1974.29,2681.97,2869.42,3005.87,3336.21,3781.37,4248.96,4979.32,7258.69,7777.97,9038.42,11261.04,12323.59,13595.21,14757.78,16100.37,15271.65,14417.39,NA,Gross State Domestic Product
Nagaland,256.95,268.05,NA,1374.63,1480.16,1482.38,1687.35,1819.22,1745.74,1760.16,2802.27,3267.04,3640.6,3984.64,4185.22,5838.84,6435.71,6937.85,7445.37,7916.87,8462.58,9253.99,12176.74,12867.9,13792.59,14398.77,14660.49,15649.92,16439.83,16867.71,18476.79,17991.61,NA,Gross State Domestic Product
Odisha,4883.52,5456.8,5405.75,18536.66,19528.07,20538.67,19565.88,22136.03,22677.77,23851.02,42986.08,42272.69,44931.61,44640.98,51403.46,77729.43,82144.72,92700.83,102845.62,110811.78,115851.13,125131.05,230987.08,243363.48,265891.53,270665.34,292228.93,337348.06,361116.68,386732.86,397992.17,381470.33,420333.22,Gross State Domestic Product
Puducherry,282.85,268.74,242.08,981.27,996.6,1077.22,1398.65,1799.13,2023.34,2082.16,3234.83,3671.75,3935.08,4308.72,4530.02,5753.71,7188.22,7453.41,8093.28,8750.74,10175.73,10806.4,16818.01,17310.43,19170.25,18206.65,19060.24,20474.36,22317.67,25983.66,26474.08,25740.06,26590.85,Gross State Domestic Product
Punjab,8377.85,8795.24,9210.34,30248.14,31138.96,32433.33,34818.68,35864.7,37869.77,40002.99,67161.97,69803.14,71146.17,73173.51,77617.82,96838.51,102556.08,112997.39,123223.23,130430.76,138636.47,147670.12,266628.27,280822.85,299449.73,312125.33,330051.93,352720.56,375405.61,397018.89,413294.63,399780.38,427542.68,Gross State Domestic Product
Rajasthan,9466.76,8894.52,10117.07,32969.7,38648.17,40224.72,44754.88,49821.45,51825.09,52920.2,82719.71,81059.59,89868.79,80973.63,104188.91,127745.65,136284.96,152188.67,160016.62,174555.75,186244.54,213079.29,434836.64,454564.34,486230.18,521508.93,563339.53,596745.51,628020.02,642928.5,679563.52,660117.79,733016.88,Gross State Domestic Product
Sikkim,147.24,156.61,NA,402.7,409.49,446.72,475.86,510.48,546.41,564.89,895.81,963.88,1040.29,1116.29,1203.83,1739.15,1909.45,2023.85,2178.23,2534.99,4401.01,4784.28,11165.1,11421.21,12114.05,13070.97,14369.5,15397.27,17673.36,18624.97,19492.04,19039.92,20671.71,Gross State Domestic Product
Tamil Nadu,13960.44,14372.66,15140.2,57549.02,64784.48,67021.44,70335.79,76104.87,79703.42,84574.52,134185.2,142064.82,139842,142295.07,150814.98,219003.22,249567.05,287529.68,305156.8,321793.36,356631.86,403415.73,751485.76,791824.31,851975.58,893915.07,967562.46,1036762.12,1125793.44,1204667.36,1243835.5,1245595.15,1345108.26,Gross State Domestic Product
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89946.27,104233.33,116343.22,128617.73,145901.78,147576.87,174185.46,359434.11,370113.12,389956.78,416332.07,464542.44,507946.1,557409.76,608401.39,641244.29,609927.33,676304.12,Gross State Domestic Product
Tripura,495.64,510.95,531.18,1777.23,1769.76,1918.51,2123.19,2341.44,2572.59,2755.64,4866.73,5152.61,5878.4,6254.91,6622.65,8903.53,9421.79,10202.45,10988.43,12024.92,13305.9,14386.67,19208.41,20872.97,22819.11,26965.21,26786.9,30537.59,33092.78,36753.96,38063.35,37244.23,40480.48,Gross State Domestic Product
Uttar Pradesh,25393.59,25720.67,26155.65,80451.09,85106.48,88243.72,97719,97633.71,100321.17,105833.09,175159.35,178996.72,182884.9,189682.27,199681.95,260840.66,277817.88,300225.35,322213.49,344725.59,367416.77,396309.43,724050.44,758204.96,802069.69,834432.38,908241.33,1011500.27,1056398.93,1097353.24,1140275.09,1077391.86,1123089.57,Gross State Domestic Product
Uttarakhand,NA,NA,NA,5685.58,6187.36,6174.22,6571.29,6688.75,6799.85,6856.15,12620.9,14141,14922.59,16403.56,17653.03,24785.67,28340.35,32189.6,38021.86,42832.46,50598.03,55666.81,115327.59,123710.06,134182.37,141277.64,152698.72,167703.25,180956.12,186082.74,187179.45,178911.85,189881.93,Gross State Domestic Product
West Bengal,15836.63,17051.54,17593.36,53424.14,57059.81,61289.82,65562.13,70971.29,75482.74,80676.3,135376.1,140573.81,150867.4,156574.99,166277.69,208656.36,221789.46,239077.12,257632.18,270248.26,291954.96,308837.05,520485.04,542190.69,558497.07,574364.34,609544.67,653415.93,694980.32,739081.86,784424.06,792720.09,NA,Gross State Domestic Product
Andaman & Nicobar Island,73.93,68.36,88.79,468.16,516.79,507.45,544.63,581.47,534.5,582.44,837.77,837.51,856.89,948.12,1048.31,1632.76,1719.94,2029.18,2237.8,2578.74,2910.88,3164.42,3403.62,3557.52,3811.15,4151.07,4483.21,5090.62,5749.69,6107.63,6430.23,NA,NA,Net State Domestic Product
Andhra Pradesh,13580.12,14341.66,13954.55,51655.11,54563.83,57950.84,61955.03,60321.2,68036.4,70904.08,116360.25,126034.65,131749.57,134748.52,147949.67,121387.79,128149.75,141609.69,159269.59,163340.65,174400.81,186040.72,339995.52,341335.22,360239.23,397063.83,446996.86,477565.55,526625.96,558861.69,595658.16,593868.88,661432.01,Net State Domestic Product
Arunachal Pradesh,231.11,264.24,271.07,812.13,795.78,914.6,859.82,884.1,910.37,947.72,1496.96,1606.66,1863.99,1774.79,1968.06,3187.93,3280.64,3457.98,3872.98,4191.44,4539.27,4735.38,10229.46,10398.77,11226.44,13081.6,12889.06,13396.43,13922.63,14897.1,17090.94,16588.48,NA,Net State Domestic Product
Assam,3425.55,3576.61,3613.09,13476.83,13796.47,14125.1,14466.77,14703.57,14574.44,15078.24,32010.66,32820.84,33667.89,35708.2,37905.37,47180.74,48601.62,50796.54,52967.99,56122.96,61293.9,64309.98,129354.12,132517.6,138724.76,146425.39,167628.67,179631.9,195262.28,204627.06,212315.35,199646.2,NA,Net State Domestic Product
Bihar,10253.27,9673.08,9100.02,20780.07,23163.37,19581.99,24568.85,23403.73,24878.99,26136.63,46070.78,53656.29,50578.52,56975.33,53300.5,70166.88,68419.13,80259.9,84415.05,97284.13,101937.58,117503.14,228497.44,236932.55,246914.74,255738.81,269199.6,289264.87,312605.14,345545.45,359195.56,344182.98,382274.49,Net State Domestic Product
Chandigarh,NA,NA,NA,1371.39,1505.1,1664.53,1896.4,2012.14,2188.23,2336.99,3791.57,4273.8,4648.8,5235.16,5803.95,7610.15,8442.08,9689.76,10404.64,11187.37,11767.43,11764.69,16929.98,18305.19,19813.45,20353.09,22058.16,23842.4,25289.46,26654.15,27817.32,24422.19,NA,Net State Domestic Product
Chhattisgarh,NA,NA,NA,12163.08,12181.26,12495.52,13041.41,13551.07,13882.45,13719.43,23839.65,22371.97,25502.65,25072.27,29781.97,41386.76,42063.41,50064.77,54112.15,57661.74,59263.28,64976.97,142273.42,148760.3,163494.33,165354.21,168878.88,187540.52,194073.22,209210.74,220623.97,215126.3,NA,Net State Domestic Product
Delhi,5046.41,5813.66,6016.94,18967.35,21250.14,21620.54,24596.22,28582.47,30016.27,31451.01,51174.64,53176.98,55221.61,59453.7,62693.79,94716.86,104473.41,117444.14,130683.04,146961.23,159043.54,172235.24,314650.02,334193.3,356527.51,387638.74,431729.59,461592.38,487631.15,506332.47,521994.11,496284.27,548057.86,Net State Domestic Product
Goa,568.25,566.23,649.27,2001.86,2079.72,2225.03,2602.31,2627.87,3284.58,3333.73,5570.43,5286.85,5491.69,5826.33,6225.42,10998.69,11916.44,13085.15,13654.94,14727.65,16118.67,19292.51,38008.55,32452.85,27971.1,36041.68,41929.44,46370.68,47076.85,47424.53,48508.84,46420.96,NA,Net State Domestic Product
Gujarat,10839.15,9944.03,13143.71,42560.47,51103.62,52629.43,60652.57,60647.1,64920.62,65163,92541,86431,93455,101603,118525,172265,197270,213954,239253,249480,284732,315891.95,532809.46,596658.83,641488.81,705628.84,774775.22,843930.34,946511.19,1034399.01,1110178.6,1099258.6,NA,Net State Domestic Product
Haryana,NA,NA,NA,19421.55,20835.2,21253.91,23758.72,23965.19,25243.25,27063.58,47329.37,51090.18,55036.31,58410.15,64156.32,86222.28,94011.46,104700.49,112895.92,121588.39,136779.99,146053.47,271152.48,289756.22,314931.2,333359.25,372700.25,412054.61,434407.17,470327.64,507776,480470.51,527733.12,Net State Domestic Product
Himachal Pradesh,1150.8,1157.18,1210.12,4250.03,4663.85,4920.52,5198.86,5571.01,5966.28,6621.85,12467,13262.23,13938.3,14616.7,15596.21,21189.41,23008.96,24819.32,26362.12,27649.31,29148.5,31589.58,60536.25,64518.52,69398.16,74552.98,80562.92,88112.12,93524.98,99217.83,102613.02,98132.11,106003.79,Net State Domestic Product
Jammu & Kashmir,1359.89,1390.48,1452.27,5500.2,5744.99,6031.48,6320.65,6652.24,7005.33,7270.15,13532.97,13917.48,14184.9,14907.16,15673.17,23292.21,24371.08,25794.32,27387.31,29102.36,30511.88,32255.89,65319.13,67315.56,70535.83,67153.76,80602.31,82635.73,87590.68,93071.82,90791.49,87101.72,97334.73,Net State Domestic Product
Jharkhand,NA,NA,NA,13403.1,13964.07,14309.18,13459.73,17615.51,19167.05,18228.37,30228.93,26663.27,28500.01,29297.56,31514.92,53055.7,50678.19,51527.44,63004.96,60471.52,66465.19,76134.44,137383.47,149526.29,150609.33,170568,158231.12,176363.12,191573.07,208701.46,209912.67,196467.21,213680.99,Net State Domestic Product
Karnataka,9112.1,10269.85,10507.58,36982.29,38917.05,40973.9,44736.55,47516.82,53960.93,56543.27,90531.92,91135.92,92788.43,97765.04,99668.56,148728.98,164030.65,181085.96,203809.9,218309.24,218363.49,240816.77,554952.2,593192.03,646786.95,671283.5,749951.61,851393.99,915641.89,974815.3,1030356.54,1026874.57,1127480.45,Net State Domestic Product
Kerala,5262.34,5364.66,5751.61,23851.07,25907.92,26947.47,28026.45,28633.15,30604.3,32785.01,61359.33,62908.63,66052.03,70885.17,75479.05,104776.05,115499.86,124624.66,135747.46,144093.92,157122.7,167178.44,328021.12,348615.81,364706.77,382134.26,411150.15,443615.3,473181.79,510786.93,521454.65,472272.25,506107.34,Net State Domestic Product
Madhya Pradesh,11107.21,10305.93,11061.75,33937.27,34529.01,36600.91,39057.27,41101.47,43814.87,48415.34,72655.36,66750.17,71525.34,67794.91,75399.85,99940.01,104975.47,114544.84,119957.88,135124.21,147932.99,155701.29,282371.04,306853.34,322597.6,339246.9,370715.67,419465.25,441956.43,482361.02,508145.77,490237.64,539180.46,Net State Domestic Product
Maharashtra,27223.82,27139.38,31243.36,101767.46,103743.16,115187.57,119732.4,126338.92,131368.46,143862.78,217197.93,210526.31,217963.31,232994.01,250988.6,370022.8,423632.19,481983.24,538080.96,546532.9,599338.37,667625.36,1126594.7,1189710.84,1267551.27,1345341.46,1452513.39,1596120.75,1661065.01,1728577.95,1782902.89,1653093.96,NA,Net State Domestic Product
Manipur,316.22,342.85,359.39,1141.44,1110.3,1147.37,1257.88,1373.64,1396.36,1581.17,2954.11,2765.25,2937.45,2921.04,3240.38,4603.3,4907.05,4992.19,5266.66,5652.17,6039.49,5861.66,11501.07,11515.07,12519.46,13615.17,14635.16,15200.95,16870.36,16192.96,17755.88,18230.13,NA,Net State Domestic Product
Meghalaya,303.99,318.89,300.07,1308.9,1352.58,1507.69,1561.48,1662.15,1841.86,1998.93,3211.3,3421.73,3651.31,3759.38,3993.01,5845.7,6302.75,6777.7,6990.92,7889.34,8396.4,9226.12,18028.03,18322.89,18396.55,17892.85,18330.24,19294.86,19963.68,20967.95,21997.3,20619.89,22527.35,Net State Domestic Product
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1409.51,1462.56,1554.99,1704.51,1760.15,2399.6,2577.28,2692.72,2988.45,3437.03,3831.98,4538.87,6404.14,6836.44,7831.45,9960.02,10947.9,12029.37,13779.41,14115.98,13050.13,11780.58,NA,Net State Domestic Product
Nagaland,238.1,247.79,283.25,1250.8,1347.9,1444.69,1547.04,1684.06,1604.8,1614.02,2609.8,3051.86,3402.29,3741.3,3912.33,5421.46,5986.09,6453.67,6978.36,7421.69,7841.96,8587.19,10554.27,11163.02,11923.18,12406.41,12599.7,13487.89,14177.79,15054.7,15853.25,15200.45,NA,Net State Domestic Product
Odisha,4344.7,4897.01,4813.71,16184.88,16973.6,17749.31,16524.39,18901.56,19481.79,20716.66,38398.89,37385.97,39661.84,39376.89,45127.17,67987.02,71004.97,79844.84,86691.91,93206.65,93957.23,99879.72,204225.95,216301.07,233121.87,235930.74,253191.67,293348.25,316191.89,338339.41,346106.38,326252.81,365115.7,Net State Domestic Product
